minute,detection_level,merchant,provider,payment_method,country,issuing_bank,weekday,hour,attempts,approvals,declines,approval_rate,dominant_decline_code,injected_incident_id,injected_records,injected_share,incident_ids,window_minutes,window_usable,window_strategy,detected,detection_status,expected_approval_rate,approval_rate_drop,z_score,severity,baseline_level,historical_attempts,reason,p_value,bh_rank,bh_threshold,passes_fdr,segment_key,consecutive_significant_windows,validated_anomaly
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,137,132,5,0.9635036496350364,INVALID_CARD,,0,0.0,,1,True,fast_1m,False,normal,0.908203125,-0.0553005246350365,-2.2417340612750887,,L1_PROVIDER_COUNTRY,512.0,Observed drop is within normal variation.,1.0,14,0.006363636363636363,False,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,0,False
2026-08-31 10:01:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,139,127,12,0.9136690647482014,INVALID_CARD,,0,0.0,,1,True,fast_1m,False,normal,0.908203125,-0.0054659397482014,-0.2231859214075058,,L1_PROVIDER_COUNTRY,512.0,Observed drop is within normal variation.,1.0,17,0.007727272727272728,False,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,0,False
2026-08-31 10:02:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,135,125,10,0.925925925925926,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m,False,normal,0.908203125,-0.0177228009259259,-0.7131712037791684,,L1_PROVIDER_COUNTRY,512.0,Observed drop is within normal variation.,1.0,18,0.008181818181818182,False,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,0,False
2026-08-31 10:03:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,119,63,56,0.5294117647058824,PROCESSOR_ERROR,INC-001,119,1.0,INC-001,1,True,fast_1m,True,confirmed_anomaly,0.908203125,0.3787913602941176,14.310938027691533,critical,L1_PROVIDER_COUNTRY,512.0,Approval rate is meaningfully below the historical baseline.,9.348711743473975e-47,1,0.00045454545454545455,True,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,1,False
2026-08-31 10:04:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,125,77,48,0.616,PROCESSOR_ERROR,INC-001,125,1.0,INC-001,1,True,fast_1m,True,confirmed_anomaly,0.908203125,0.292203125,11.314475289941988,critical,L1_PROVIDER_COUNTRY,512.0,Approval rate is meaningfully below the historical baseline.,5.5632993568135634e-30,1,0.00045454545454545455,True,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,2,True
2026-08-31 10:05:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,136,71,65,0.5220588235294118,PROCESSOR_ERROR,INC-001,136,1.0,INC-001,1,True,fast_1m,True,confirmed_anomaly,0.908203125,0.3861443014705882,15.596014843778564,critical,L1_PROVIDER_COUNTRY,512.0,Approval rate is meaningfully below the historical baseline.,3.874113408860442e-55,1,0.00045454545454545455,True,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,3,True
2026-08-31 10:06:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,141,68,73,0.4822695035460992,PROCESSOR_ERROR,INC-001,141,1.0,INC-001,1,True,fast_1m,True,confirmed_anomaly,0.908203125,0.4259336214539007,17.51644762015811,critical,L1_PROVIDER_COUNTRY,512.0,Approval rate is meaningfully below the historical baseline.,5.366043863823152e-69,1,0.00045454545454545455,True,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,4,True
2026-08-31 10:07:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,136,70,66,0.5147058823529411,PROCESSOR_ERROR,INC-001,136,1.0,INC-001,1,True,fast_1m,True,confirmed_anomaly,0.908203125,0.3934972426470589,15.892993406706813,critical,L1_PROVIDER_COUNTRY,512.0,Approval rate is meaningfully below the historical baseline.,3.5430683630939554e-57,1,0.00045454545454545455,True,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,5,True
2026-08-31 10:08:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,112,107,5,0.9553571428571428,INSUFFICIENT_FUNDS,,0,0.0,,1,True,fast_1m,False,normal,0.908203125,-0.0471540178571429,-1.7283124981469011,,L1_PROVIDER_COUNTRY,512.0,Observed drop is within normal variation.,1.0,35,0.01590909090909091,False,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,0,False
2026-08-31 10:09:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,128,120,8,0.9375,INVALID_CARD,,0,0.0,,1,True,fast_1m,False,normal,0.908203125,-0.029296875,-1.1479443595287109,,L1_PROVIDER_COUNTRY,512.0,Observed drop is within normal variation.,1.0,19,0.008636363636363636,False,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,0,False
