detection_level,merchant,provider,payment_method,country,issuing_bank,weekday,hour,historical_attempts,historical_approvals,historical_declines,expected_approval_rate,average_amount,baseline_reliable
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,0,54,49,5,0.9074074074074074,288.8522222222222,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,1,26,22,4,0.8461538461538461,284.58846153846156,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,2,21,19,2,0.9047619047619048,259.2342857142857,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,3,18,17,1,0.9444444444444444,258.3622222222223,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,4,15,13,2,0.8666666666666667,344.57866666666666,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,5,32,30,2,0.9375,255.648125,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,6,117,111,6,0.9487179487179487,291.0621367521367,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,7,223,197,26,0.8834080717488789,290.2297757847534,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,8,354,331,23,0.9350282485875706,287.3527966101695,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,9,428,401,27,0.9369158878504673,292.49207943925234,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,512,465,47,0.908203125,281.65408203125,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,11,555,514,41,0.9261261261261261,290.81039639639636,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,12,646,610,36,0.9442724458204335,281.61936532507735,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,13,612,576,36,0.9411764705882353,298.88148692810455,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,14,520,488,32,0.9384615384615385,278.05742307692304,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,15,503,481,22,0.9562624254473161,288.0917097415507,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,16,437,415,22,0.9496567505720824,270.9413958810069,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,17,444,415,29,0.9346846846846847,282.04806306306307,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,18,385,353,32,0.9168831168831169,290.4536883116883,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,19,329,310,19,0.9422492401215805,271.81635258358665,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,20,223,212,11,0.9506726457399103,280.7392376681614,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,21,147,136,11,0.9251700680272109,284.0369387755102,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,22,75,69,6,0.92,278.28973333333334,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,23,49,48,1,0.9795918367346939,311.995306122449,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,0,50,48,2,0.96,311.8302,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,1,33,31,2,0.9393939393939394,266.79484848484844,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,2,20,20,0,1.0,326.004,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,3,25,23,2,0.92,287.5956,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,4,26,25,1,0.9615384615384616,223.96384615384616,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,5,41,37,4,0.9024390243902439,293.8131707317073,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,6,101,97,4,0.9603960396039604,275.72455445544557,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,7,202,189,13,0.9356435643564357,287.5329702970297,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,8,335,315,20,0.9402985074626866,285.4611343283582,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,9,463,431,32,0.9308855291576674,281.8979481641469,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,10,743,683,60,0.9192462987886945,282.4224226110363,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,11,620,574,46,0.9258064516129032,285.52632258064517,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,12,690,650,40,0.9420289855072463,285.22169565217393,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,13,608,573,35,0.9424342105263158,285.81574013157893,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,14,544,512,32,0.9411764705882353,300.1809558823529,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,15,558,523,35,0.9372759856630825,278.490394265233,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,16,486,452,34,0.9300411522633745,284.62170781893,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,17,473,447,26,0.945031712473573,284.31095137420715,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,18,448,416,32,0.9285714285714286,280.09522321428574,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,19,376,350,26,0.9308510638297872,280.103085106383,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,20,246,224,22,0.9105691056910569,294.96926829268295,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,21,130,119,11,0.9153846153846154,293.7605384615385,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,22,111,102,9,0.918918918918919,268.1657657657658,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,1,23,64,62,2,0.96875,310.53609375,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,0,54,50,4,0.9259259259259259,266.34944444444443,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,1,26,25,1,0.9615384615384616,338.18769230769226,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,2,24,21,3,0.875,313.5725,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,3,22,20,2,0.9090909090909091,332.8040909090909,False
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,4,30,29,1,0.9666666666666667,310.04966666666667,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,5,50,47,3,0.94,295.1172,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,6,141,127,14,0.900709219858156,276.361134751773,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,7,247,230,17,0.9311740890688259,283.2644939271255,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,8,368,343,25,0.9320652173913043,287.74760869565216,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,9,512,479,33,0.935546875,285.54943359375,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,10,565,522,43,0.9238938053097345,283.47833628318585,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,11,657,607,50,0.923896499238965,279.6700761035007,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,12,688,637,51,0.9258720930232558,282.2284447674419,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,13,655,611,44,0.932824427480916,284.7926259541985,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,14,531,490,41,0.9227871939736346,284.68410546139364,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,15,546,507,39,0.9285714285714286,282.9352380952381,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,16,481,442,39,0.918918918918919,289.5662577962578,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,17,505,460,45,0.9108910891089109,278.85411881188116,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,18,469,432,37,0.9211087420042644,283.2668230277186,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,19,379,348,31,0.9182058047493403,277.5843535620053,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,20,246,234,12,0.9512195121951219,272.6361788617886,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,21,150,139,11,0.9266666666666666,286.9338,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,22,110,101,9,0.9181818181818182,272.10436363636364,True
L1_PROVIDER_COUNTRY,,Adyen,,BR,,2,23,64,58,6,0.90625,261.74671875,True
