minute,detection_level,merchant,provider,payment_method,country,issuing_bank,weekday,hour,attempts,approvals,declines,approval_rate,dominant_decline_code,injected_incident_id,injected_records,injected_share,incident_ids,window_minutes,window_usable,window_strategy
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,137,132,5,0.9635036496350364,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,CO,,0,10,140,128,12,0.9142857142857144,INSUFFICIENT_FUNDS,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,MX,,0,10,137,124,13,0.9051094890510948,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,BR,,0,10,149,137,12,0.9194630872483222,SUSPECTED_FRAUD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,CO,,0,10,128,114,14,0.890625,INSUFFICIENT_FUNDS,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,MX,,0,10,114,97,17,0.8508771929824561,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,BR,,0,10,130,117,13,0.9,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,CO,,0,10,131,116,15,0.8854961832061069,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,MX,,0,10,134,113,21,0.8432835820895522,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,PIX,BR,,0,10,128,120,8,0.9375,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,PSE,CO,,0,10,127,117,10,0.9212598425196852,INSUFFICIENT_FUNDS,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,card,BR,,0,10,132,120,12,0.9090909090909092,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,card,CO,,0,10,130,116,14,0.8923076923076924,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,card,MX,,0,10,129,111,18,0.8604651162790697,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,cash_in_store,MX,,0,10,125,104,21,0.832,INSUFFICIENT_FUNDS,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,wallet,BR,,0,10,156,146,10,0.935897435897436,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,wallet,CO,,0,10,142,125,17,0.8802816901408451,DO_NOT_HONOR,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L2_METHOD_COUNTRY,,,wallet,MX,,0,10,131,119,12,0.9083969465648856,INVALID_CARD,,0,0.0,,1,True,fast_1m
2026-08-31 10:00:00,L3_MERCHANT_COUNTRY,Merchant_A,,,BR,,0,10,150,139,11,0.9266666666666666,INVALID_CARD,,0,0.0,,1,True,fast_1m
