minute,detection_level,merchant,provider,payment_method,country,issuing_bank,weekday,hour,attempts,approvals,declines,approval_rate,dominant_decline_code,injected_incident_id,injected_records,injected_share,incident_ids
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,137,132,5,0.9635036496350365,INVALID_CARD,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,CO,,0,10,140,128,12,0.9142857142857143,INSUFFICIENT_FUNDS,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Adyen,,MX,,0,10,137,124,13,0.9051094890510949,DO_NOT_HONOR,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,BR,,0,10,149,137,12,0.9194630872483222,SUSPECTED_FRAUD,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,CO,,0,10,128,114,14,0.890625,INSUFFICIENT_FUNDS,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,Stripe,,MX,,0,10,114,97,17,0.8508771929824561,INVALID_CARD,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,BR,,0,10,130,117,13,0.9,INVALID_CARD,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,CO,,0,10,131,116,15,0.8854961832061069,DO_NOT_HONOR,,0,0.0,
2026-08-31 10:00:00,L1_PROVIDER_COUNTRY,,dLocal,,MX,,0,10,134,113,21,0.8432835820895522,INVALID_CARD,,0,0.0,
2026-08-31 10:01:00,L1_PROVIDER_COUNTRY,,Adyen,,BR,,0,10,139,127,12,0.9136690647482014,INVALID_CARD,,0,0.0,
2026-08-31 10:01:00,L1_PROVIDER_COUNTRY,,Adyen,,CO,,0,10,150,134,16,0.8933333333333333,INVALID_CARD,,0,0.0,
2026-08-31 10:01:00,L1_PROVIDER_COUNTRY,,Adyen,,MX,,0,10,134,119,15,0.8880597014925373,INVALID_CARD,,0,0.0,
2026-08-31 10:01:00,L1_PROVIDER_COUNTRY,,Stripe,,BR,,0,10,126,119,7,0.9444444444444444,DO_NOT_HONOR,,0,0.0,
