incident_id,root_cause_type,start_time,end_time,candidate_count,validated_windows,provider,issuing_bank,merchant,payment_method,country,attempts,approvals,observed_approval_rate,expected_approval_rate,approval_rate_drop,maximum_z_score,dominant_decline_code,source_candidates,ground_truth_ids,average_injected_share
INC-BCE89079,issuing_bank,2026-08-31 10:03:00,2026-08-31 10:11:00,1,9,,Santander,Merchant_B,,MX,526,463,0.8802281368821293,0.9756097560975608,0.09538161921543153,6.028091789695969,INSUFFICIENT_FUNDS,CAND-67C5BEE0,,0.0
INC-63C76234,issuing_bank,2026-08-31 10:04:00,2026-08-31 10:11:00,3,11,,Itau,Merchant_A|Merchant_C,,BR,945,794,0.8402116402116402,0.9390808610416453,0.09886922083000516,7.483314773547886,PROCESSOR_ERROR,CAND-47B239E6|CAND-C8D97397|CAND-6A150A8A,INC-001,0.21571710112451403
INC-2D1F9918,issuing_bank,2026-08-31 10:05:00,2026-08-31 10:11:00,2,11,,BBVA,Merchant_A,,MX,874,606,0.6933638443935927,0.9306698002350177,0.237305955841425,17.90538626064397,ISSUER_UNAVAILABLE,CAND-2C47E1B4|CAND-38508F1C,INC-002,0.38166246829338424
INC-D0652236,issuing_bank,2026-08-31 10:03:00,2026-08-31 10:09:00,2,8,,Banorte,Merchant_B|Merchant_C,,MX,462,403,0.8722943722943723,0.9549858386294556,0.08269146633508329,4.157609203101506,INSUFFICIENT_FUNDS,CAND-B72D3C15|CAND-BFAF16FB,,0.0
INC-D84D5FDF,provider,2026-08-31 10:04:00,2026-08-31 10:07:00,4,16,Adyen,,,PIX|card|wallet,BR,1076,572,0.5315985130111525,0.907669474284348,0.3760709612731955,17.51644762015811,PROCESSOR_ERROR,CAND-C6E57CB7|CAND-2BB6A6C8|CAND-DAFDE088|CAND-FF120A25,INC-001,1.0
INC-4F974BBB,decline_code,2026-08-31 10:04:00,2026-08-31 10:10:00,14,47,,Bradesco|Nubank,Merchant_A|Merchant_B|Merchant_C,PIX|card|wallet,BR,5826,4599,0.7893923789907312,0.9206648764364725,0.13127249744574132,10.258260108443766,PROCESSOR_ERROR,CAND-771167FC|CAND-3E142677|CAND-D3F95657|CAND-262D1A07|CAND-CD6DC2B2|CAND-8FFBC4AF|CAND-C33A9189|CAND-14D4BFEE|CAND-D9FB4919|CAND-437B3297|CAND-C15C4E34|CAND-22E12678|CAND-37C73F9B|CAND-E9192BE2,INC-001,0.31675858678667307
INC-A261D179,issuing_bank,2026-08-31 10:04:00,2026-08-31 10:07:00,1,4,,Citibanamex,Merchant_C,,MX,233,192,0.8240343347639485,0.925,0.10096566523605155,3.609358681683476,DO_NOT_HONOR,CAND-AC5C54F6,,0.0
INC-D3A3B288,issuing_bank,2026-08-31 10:07:00,2026-08-31 10:08:00,1,2,,Banco do Brasil,Merchant_B,,BR,136,105,0.7720588235294118,0.8913043478260869,0.11924552429667512,3.2302401179342977,INVALID_CARD,CAND-589B0740,INC-001,0.2065972222222222
INC-09AB78C1,provider,2026-08-31 10:07:00,2026-08-31 10:08:00,2,2,Adyen,,,card|cash_in_store,MX,85,66,0.7764705882352941,0.9225701527096312,0.14609956447433703,5.692750425533114,ISSUER_UNAVAILABLE,CAND-EBC70A56|CAND-A9EE9E4A,INC-002,0.05555555555555555
INC-BAE97DBA,provider,2026-08-31 10:08:00,2026-08-31 10:08:00,1,1,dLocal,,,PIX,BR,52,45,0.8653846153846154,0.9567901234567902,0.09140550807217473,3.2417101757442133,SUSPECTED_FRAUD,CAND-F4E72B78,,0.0
