incident_candidate_id,cluster_key,detection_level,start_time,end_time,duration_minutes,validated_windows,merchant,provider,payment_method,country,issuing_bank,attempts,approvals,observed_approval_rate,expected_approval_rate,approval_rate_drop,maximum_z_score,average_z_score,dominant_decline_code,incident_ids,average_injected_share,maximum_injected_share
CAND-2BB6A6C8,L1_PROVIDER_COUNTRY|provider=Adyen|country=BR,L1_PROVIDER_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,Adyen,,BR,,538,286,0.5315985130111525,0.908203125,0.37660461198884754,17.51644762015811,15.079982790146369,PROCESSOR_ERROR,INC-001,1.0,1.0
CAND-3E142677,L2_METHOD_COUNTRY|payment_method=PIX|country=BR,L2_METHOD_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,,PIX,BR,,557,445,0.7989228007181328,0.9430740037950666,0.14415120307693374,9.7748055560199,7.358199827259119,PROCESSOR_ERROR,INC-001,0.3632095259697149,0.4074074074074074
CAND-D3F95657,L2_METHOD_COUNTRY|payment_method=card|country=BR,L2_METHOD_COUNTRY,2026-08-31 10:06:00,2026-08-31 10:07:00,2,2,,,card,BR,,261,195,0.7471264367816092,0.896421845574388,0.1492954087927788,6.912592421115109,5.5375156626925275,PROCESSOR_ERROR,INC-001,0.3463316344672277,0.3706293706293706
CAND-262D1A07,L2_METHOD_COUNTRY|payment_method=wallet|country=BR,L2_METHOD_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,,wallet,BR,,526,411,0.7813688212927756,0.9131313131313133,0.13176249183853772,6.07884076128246,5.371178498924452,PROCESSOR_ERROR,INC-001,0.32881563813315634,0.3484848484848485
CAND-CD6DC2B2,L3_MERCHANT_COUNTRY|merchant=Merchant_A|country=BR,L3_MERCHANT_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_A,,,BR,,546,426,0.7802197802197802,0.918560606060606,0.13834082584082574,6.723248839983475,5.903828904637354,PROCESSOR_ERROR,INC-001,0.3679808295464331,0.3970588235294117
CAND-8FFBC4AF,L3_MERCHANT_COUNTRY|merchant=Merchant_B|country=BR,L3_MERCHANT_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_B,,,BR,,526,416,0.7908745247148289,0.9155206286836937,0.12464610396886477,7.313888733006677,5.139206065209784,PROCESSOR_ERROR,INC-001,0.31805574261046465,0.3384615384615385
CAND-C33A9189,L3_MERCHANT_COUNTRY|merchant=Merchant_C|country=BR,L3_MERCHANT_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,Merchant_C,,,BR,,511,409,0.8003913894324853,0.9186046511627908,0.11821326173030544,7.190726783585371,4.845026697355671,PROCESSOR_ERROR,INC-001,0.33233898046398047,0.3615384615384615
CAND-14D4BFEE,L4_BANK_COUNTRY|country=BR,L4_BANK_COUNTRY,2026-08-31 10:04:00,2026-08-31 10:07:00,4,4,,,,BR,,1083,856,0.7903970452446907,0.9285714285714286,0.13817438332673793,10.258260108443766,8.829789218080977,PROCESSOR_ERROR,INC-001,0.3461995491404766,0.3602941176470588
CAND-D9FB4919,L4_BANK_COUNTRY|country=BR|issuing_bank=Bradesco,L4_BANK_COUNTRY,2026-08-31 10:07:00,2026-08-31 10:08:00,2,2,,,,BR,Bradesco,335,274,0.817910447761194,0.8968253968253969,0.07891494906420282,3.614271669893835,3.3604155255642345,PROCESSOR_ERROR,INC-001,0.26877406931964054,0.274390243902439
CAND-C8D97397,L4_BANK_COUNTRY|country=BR|issuing_bank=Itau,L4_BANK_COUNTRY,2026-08-31 10:10:00,2026-08-31 10:11:00,2,2,,,,BR,Itau,365,310,0.8493150684931506,0.9160839160839159,0.06676884759076529,3.7095734818741546,3.2454812044936556,DO_NOT_HONOR,INC-001,0.15812890812890806,0.1798941798941798
